program,n_requested,n_present,present_genes,missing_genes
TLS_integrated,14,12,CCL19;CXCL13;CXCL12;LTA;CCR7;MS4A1;CD79A;CD79B;CD3D;CD3E;TRAC;IL7R,CCL21;LTB
mregDC,11,10,LAMP3;CCR7;CD40;CD80;CD86;CD274;PDCD1LG2;CIITA;CCL17;CCL19,CD74
AP_MHCII_proxy,7,4,CIITA;TAP1;TAP2;PSMB5,CD74;PSMB8;PSMB9
IFN_response,10,7,IFIT1;IFIT2;IFIT3;MX1;STAT1;CXCL10;CXCL11,ISG15;IFI6;IFI27
TLS_chemokine,6,5,CXCL13;CCL19;CXCL10;CXCL11;CXCL12,CCL21
B_cell,6,5,MS4A1;CD79A;CD79B;BANK1;CD19,CD74
T_cell,5,5,CD3D;CD3E;TRAC;IL7R;CCR7,
FDC_GC_proxy,6,6,CR2;FCER2;BCL6;MKI67;AICDA;CXCL13,
HEV_stromal_proxy,7,4,CXCL12;CCL19;PECAM1;CD34,CCL21;VWF;LYVE1
tumor_proliferation,7,7,MKI67;TOP2A;UBE2C;BIRC5;CCNB1;CCNB2;MYC,
tumor_EMT_invasion,9,5,SNAI1;SNAI2;ZEB1;ZEB2;MMP9,VIM;FN1;MMP2;COL1A1
