"row_label","immune_class","IF core","mregDC","TLS","Cytotoxic","Checkpoint"
"Absolute_score_(sig_score) | CIBERSORT_ABS","Global score",0.842466428819063,0.881690899252221,0.691519836481731,0.706107747531141,0.815481629453512
"B_lineage | MCPcounter","Other",0.537409226309288,0.623678026485865,0.8974151327453,0.592071966038609,0.630613156493735
"CD4+_Tem | xCell","T cells",0.750268798671173,0.755897018682196,0.597391124099809,0.656686459964273,0.707719837714604
"CD8_T_cells | MCPcounter","Cytotoxic T/NK",0.549022621023217,0.577606186592418,0.61094241508708,0.601609642906399,0.620277191017392
"CD8_Tcells | EPIC","Cytotoxic T/NK",-0.543874245935241,-0.591071016261503,-0.466313277242742,-0.53118835581283,-0.581210720736245
"Class-switched_memory_B-cells | xCell","T cells",0.514480103778283,0.545671490583716,0.603139284045164,0.439563635667836,0.537839411075015
"Cytotoxic_lymphocytes | MCPcounter","Cytotoxic T/NK",0.759041176700204,0.769718539894128,0.645786803161038,0.925581022737507,0.822249369599294
"DC | TIMER","APC/myeloid",0.75267585288042,0.742454265966567,0.431132682412847,0.561403351933263,0.659382062252479
"ESTIMATEScore | ESTIMATE","Global score",0.7631503745932,0.825319312843508,0.700425010612164,0.729867638495289,0.753903072179053
"ImmuneScore | ESTIMATE","Global score",0.858478278896606,0.874980848781982,0.695653467302975,0.831767840072455,0.855270430611862
"Macrophages | EPIC","APC/myeloid",0.746335219837487,0.723844214359236,0.542946818339175,0.651022574854674,0.751853853317546
"Macrophages_M1 | CIBERSORT_ABS","APC/myeloid",0.715290231000346,0.746622916345337,0.662600355472911,0.710036903855967,0.781742461067217
"Macrophages_M1 | quanTIseq","APC/myeloid",0.553246614015228,0.600873286444903,0.473098159486897,0.53695627835812,0.544352485250023
"Macrophages_M2 | CIBERSORT_ABS","APC/myeloid",0.633522532142071,0.629595627803165,0.416907114687135,0.453172097836717,0.573607954122428
"Macrophages_M2 | quanTIseq","APC/myeloid",0.57115282471603,0.498942328707961,0.206817124595281,0.293720804989274,0.458707661936072
"Monocytes NC+I | ABIS","APC/myeloid",0.619601065715669,0.561425894989051,0.272393968058277,0.335974604595056,0.503530789030309
"Monocytic_lineage | MCPcounter","Other",0.756300480992281,0.741137340358992,0.484917317602567,0.524255229554129,0.66721857111722
"Myeloid_dendritic_cells | MCPcounter","APC/myeloid",0.577926267579431,0.651254547354604,0.500785469674181,0.480054989042575,0.506852359753742
"NK_cells | MCPcounter","Cytotoxic T/NK",0.691593462382498,0.673672544973578,0.472688164584888,0.775625622559137,0.739493629425832
"Neutrophil | TIMER","Granulocyte/mast",0.715575512212235,0.710966580854824,0.459029032475842,0.551193941648975,0.678429239447717
"Other | quanTIseq","Other",-0.62187480636847,-0.61449915981256,-0.328143674364249,-0.417989012672634,-0.524149955655489
"Plasmablasts | ABIS","B/plasma",0.575815317978782,0.644202834497453,0.7870277411326,0.580712493402012,0.611875342133386
"StromalScore | ESTIMATE","Stromal",0.525711955199868,0.62229204859924,0.585867125535502,0.494536546689359,0.510706031809056
"T CD8 Memory | ABIS","Cytotoxic T/NK",0.708443475727178,0.74922847665381,0.670907797299642,0.760132611698446,0.762535655312228
"T CD8 Naive | ABIS","Cytotoxic T/NK",-0.656463639737317,-0.712968888251162,-0.565202766899415,-0.667668493699556,-0.655228477797343
"T_cells_CD4_memory_resting | CIBERSORT_ABS","T cells",0.594178322434041,0.606288151002676,0.377801249933054,0.450285894932062,0.525989104907948
"T_cells_CD8 | CIBERSORT_ABS","Cytotoxic T/NK",0.570246181417731,0.62856764396284,0.638371056323326,0.661007561404094,0.659050825393973
"T_cells_CD8 | quanTIseq","Cytotoxic T/NK",0.617685977736914,0.647636119202051,0.618732677244222,0.686565763169296,0.679237549430217
"T_cells_follicular_helper | CIBERSORT_ABS","T cells",0.513070559058606,0.506154686296809,0.531443880813218,0.500359062839526,0.610873294521292
"T_cells_regulatory_(Tregs) | CIBERSORT_ABS","T cells",0.698778498904959,0.741042661830138,0.640420682578809,0.693888271237402,0.707258829098212
"Tregs | quanTIseq","T cells",0.604945854672005,0.613605701273765,0.459877259179109,0.438976854620733,0.556117335001727
"TumorPurity | ESTIMATE","Global score",-0.7631503745932,-0.825319312843508,-0.700425010612164,-0.729867638495289,-0.753903072179053
