perturbed_TF	target_gene	mean_delta
RELA	ITGAX	-0.002829933861307418
RELA	LAMP3	-8.221332199528432e-05
RELA	CCR7	0.00013145647883140525
RELA	CD74	0.004921133019418407
RELA	TAP1	-0.0002858780705701312
RELA	TAP2	-0.00585716104897494
RELA	CIITA	0.0032938576779583868
RELA	NLRC5	-0.00028427851639989903
RELA	CD40	-0.009941559394648457
RELA	CD274	-2.313508019014254e-05
RELB	ITGAX	-0.002885435911198433
RELB	LAMP3	-2.6911125801057256e-06
RELB	CCR7	-5.744684616308257e-06
RELB	CD74	0.003949645084997802
RELB	TAP1	-0.0016044402199286917
RELB	TAP2	-0.00040925647653998156
RELB	CIITA	0.003339575341439267
RELB	NLRC5	-0.00046374397940831207
RELB	CD40	-0.003784369899723998
RELB	CD274	-4.281248976175464e-06
NFKB1	ITGAX	-0.026599076432776154
NFKB1	LAMP3	-9.03802341117292e-05
NFKB1	CCR7	0.00014190907799960603
NFKB1	CD74	-0.025121900799468834
NFKB1	TAP1	-0.0013111843702927621
NFKB1	TAP2	-0.002940248910995779
NFKB1	CIITA	0.0027417026058907073
NFKB1	NLRC5	-0.00019057807995726575
NFKB1	CD40	-0.0016770443432185765
NFKB1	CD274	-9.466337820038949e-05
NFKB2	ITGAX	-0.0003998648800348291
NFKB2	LAMP3	-0.00022065020817877326
NFKB2	CCR7	-9.169612794170679e-05
NFKB2	CD74	-0.004180639798092298
NFKB2	TAP1	-0.001324845813329534
NFKB2	TAP2	-0.019136212086686283
NFKB2	CIITA	0.004101690567096526
NFKB2	NLRC5	-0.004969293605554931
NFKB2	CD40	-0.025588289515979655
NFKB2	CD274	-4.586883718493688e-05
STAT1	ITGAX	-0.01989962327285281
STAT1	LAMP3	-0.0022009687299266857
STAT1	CCR7	-0.0004684063813299395
STAT1	CD74	-0.09629118587056744
STAT1	TAP1	-0.024700099554652553
STAT1	TAP2	-0.03227157327647229
STAT1	CIITA	-0.016840684609068273
STAT1	NLRC5	-0.023035677131649016
STAT1	CD40	-0.006986086708168679
STAT1	CD274	-0.0005080112888997475
STAT3	ITGAX	-0.012816055510074205
STAT3	LAMP3	-0.0015029432964784
STAT3	CCR7	0.0021888477521473703
STAT3	CD74	0.012837920925682672
STAT3	TAP1	0.00026878258481426897
STAT3	TAP2	-0.021995555357193622
STAT3	CIITA	0.03064650059864671
STAT3	NLRC5	0.01393529629549506
STAT3	CD40	-0.054868688333525234
STAT3	CD274	-0.00016328934967701722
IRF1	ITGAX	-0.022484309757460862
IRF1	LAMP3	-0.0014467007695679768
IRF1	CCR7	-0.0016519414947507157
IRF1	CD74	-0.029068971312198114
IRF1	TAP1	-0.02857714504985079
IRF1	TAP2	-0.022212832425783494
IRF1	CIITA	0.0073153557895758595
IRF1	NLRC5	-0.032377731549724696
IRF1	CD40	-0.004012025114845853
IRF1	CD274	-0.00029178069294635226
IRF4	ITGAX	2.114227865237861e-06
IRF4	LAMP3	-1.1182831285647856e-08
IRF4	CCR7	-6.747291589937052e-06
IRF4	CD74	0.000135917956329596
IRF4	TAP1	-3.053844459048498e-05
IRF4	TAP2	2.827026315710558e-05
IRF4	CIITA	-0.00019929352297787102
IRF4	NLRC5	6.699114394367595e-06
IRF4	CD40	4.338109418401906e-06
IRF4	CD274	-4.0275134861372846e-07
IRF8	ITGAX	-0.053107992809589846
IRF8	LAMP3	-5.410704299069564e-05
IRF8	CCR7	0.0008852793452962146
IRF8	CD74	-0.3090250131057937
IRF8	TAP1	-9.188053148814409e-05
IRF8	TAP2	-0.013659115046520651
IRF8	CIITA	-0.1893080460274172
IRF8	NLRC5	0.001510399039079763
IRF8	CD40	-0.00034329280077213554
IRF8	CD274	2.50019560876835e-05
BATF3	ITGAX	0.001190685659934854
BATF3	LAMP3	-9.45069302036648e-06
BATF3	CCR7	3.471603106312547e-05
BATF3	CD74	0.0003387729809054703
BATF3	TAP1	-0.0003668084530878285
BATF3	TAP2	-0.00021288798165583755
BATF3	CIITA	-0.0011473463287154885
BATF3	NLRC5	-0.0005702689343328554
BATF3	CD40	0.0001633928619449947
BATF3	CD274	-5.2402550692268515e-06
SPI1	ITGAX	-0.06779770648339722
SPI1	LAMP3	-8.122418582318515e-05
SPI1	CCR7	0.001765725686559013
SPI1	CD74	-0.12564571483941578
SPI1	TAP1	-0.008669094869709255
SPI1	TAP2	-0.013256261646827411
SPI1	CIITA	-0.20735288748674435
SPI1	NLRC5	-0.014637174655387688
SPI1	CD40	-0.0038377995733514213
SPI1	CD274	-0.00013046538459672474
CEBPB	ITGAX	-0.03098054718864996
CEBPB	LAMP3	0.00032482759417567066
CEBPB	CCR7	0.003344059241483187
CEBPB	CD74	-0.013831964331322224
CEBPB	TAP1	0.006106094291350602
CEBPB	TAP2	-0.0046777705143130404
CEBPB	CIITA	-0.007224662327915685
CEBPB	NLRC5	0.04377312978504774
CEBPB	CD40	-0.02090267964999417
CEBPB	CD274	0.00043426521693524123
