dataset,dataset_label,metric,n_samples,median_value,q25,q75
10x_human_ovarian_cancer_ffpe_visium,10x Visium,mregDC~TLS integrated,1,0.580255016410131,0.580255016410131,0.580255016410131
10x_human_ovarian_cancer_ffpe_visium,10x Visium,mregDC~TLS 12CK,1,0.618401415393369,0.618401415393369,0.618401415393369
10x_human_ovarian_cancer_ffpe_visium,10x Visium,mregDC~TLS imprint,1,0.472301173307824,0.472301173307824,0.472301173307824
10x_human_ovarian_cancer_ffpe_visium,10x Visium,mregDC~antigen-presentation/MHC-II,1,0.630793435390549,0.630793435390549,0.630793435390549
10x_human_ovarian_cancer_ffpe_visium,10x Visium,TLS~antigen-presentation/MHC-II,1,0.58148818778082,0.58148818778082,0.58148818778082
10x_human_ovarian_cancer_ffpe_visium,10x Visium,TLS/mregDC co-high O/E,1,2.91485682782585,2.91485682782585,2.91485682782585
GSE211956,GSE211956,mregDC~TLS integrated,8,0.226830570877318,0.151138476400485,0.273547499643542
GSE211956,GSE211956,mregDC~TLS 12CK,8,0.214525002422698,0.194064107170161,0.287030658282479
GSE211956,GSE211956,mregDC~TLS imprint,8,0.159424212150872,0.109192570905759,0.194326297185628
GSE211956,GSE211956,mregDC~antigen-presentation/MHC-II,8,0.179604684024725,0.169739968077969,0.235084334811585
GSE211956,GSE211956,TLS~antigen-presentation/MHC-II,8,0.340784941505333,0.233293052830647,0.395612819486675
GSE211956,GSE211956,TLS/mregDC co-high O/E,8,2.74227207569055,2.52166391659785,3.12269998259173
GSE224335,GSE224335,mregDC~TLS integrated,2,0.0938590006753986,0.0924850638161104,0.0952329375346869
GSE224335,GSE224335,mregDC~TLS 12CK,2,0.0978870272895698,0.0974810953764684,0.0982929592026712
GSE224335,GSE224335,mregDC~TLS imprint,2,0.0765848384064486,0.0756452168811484,0.0775244599317489
GSE224335,GSE224335,mregDC~antigen-presentation/MHC-II,2,0.139544046244132,0.133671421360734,0.14541667112753
GSE224335,GSE224335,TLS~antigen-presentation/MHC-II,2,0.176297584635704,0.14661322688881,0.205981942382597
GSE224335,GSE224335,TLS/mregDC co-high O/E,2,1.55230904380835,1.49698208423105,1.60763600338566
GSE274657,GSE274657,mregDC~TLS integrated,4,0.148882961793759,0.0984876385150617,0.267340382155808
GSE274657,GSE274657,mregDC~TLS 12CK,4,0.163994526953206,0.130704192046678,0.275616885488904
GSE274657,GSE274657,mregDC~TLS imprint,4,0.132268748648452,0.0761626135143199,0.25274481918911
GSE274657,GSE274657,mregDC~antigen-presentation/MHC-II,4,0.16630007441432,0.133135745283258,0.234744142604125
GSE274657,GSE274657,TLS~antigen-presentation/MHC-II,4,0.329774451060829,0.202282910340883,0.497794170079613
GSE274657,GSE274657,TLS/mregDC co-high O/E,4,2.93886213526733,1.81769451795841,3.94124509280579
GSE288483,GSE288483,mregDC~TLS integrated,8,0.293226423606421,0.266021592204826,0.345280264052437
GSE288483,GSE288483,mregDC~TLS 12CK,8,0.327763601245652,0.303594091386993,0.36864741320146
GSE288483,GSE288483,mregDC~TLS imprint,8,0.19138641510389,0.156817625074113,0.29584851931424
GSE288483,GSE288483,mregDC~antigen-presentation/MHC-II,8,0.32193516567718,0.231828212584517,0.386039843208651
GSE288483,GSE288483,TLS~antigen-presentation/MHC-II,8,0.344215745046399,0.238284877040292,0.368861994016059
GSE288483,GSE288483,TLS/mregDC co-high O/E,8,3.10394714924341,2.72541182077834,3.61776983577364
