panel,relation,n,raw,adjusted,p
TCGA-OV patients,mregDC-TLS,427,0.8364909851324894,0.2875743641152615,1.4186608851301948e-09
TCGA-OV patients,mregDC-AP/MHC-II,427,0.722091396240165,0.24935418634279677,1.7870167683970243e-07
TCGA-OV patients,TLS-AP/MHC-II,427,0.5941703538220282,-0.09474064213504321,0.05042014230648971
Spatial spots,mregDC-TLS,41867,0.2583502734946994,0.13513881899523028,7.997801319623044e-170
Spatial spots,mregDC-AP/MHC-II,41867,0.2477560201023276,0.13592041198197613,8.678808507229839e-172
Spatial spots,TLS-AP/MHC-II,41867,0.34848708009591123,0.22386063107037787,0.0
Xenium cells,mregDC-TLS,149723,-0.04072828663880589,-0.025003134736824903,3.8075327268686303e-22
Xenium cells,mregDC-AP/MHC-II,149723,0.16990001416650566,0.1525269492612773,0.0
Xenium cells,TLS-AP/MHC-II,149723,-0.10478018560684413,-0.10890136939854464,0.0
