label,outcome,predictor,controls,n,beta,se_hc3,p_hc3,adj_r2,status
mregDC vs TLS | y~x+core controls,TLS_integrated_score,mregDC_extended_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.3875060597928583,0.05424570958268022,9.096154311676486e-13,0.7872736258474016,ok
mregDC vs TLS | y~x+core+APC/myeloid,TLS_integrated_score,mregDC_extended_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.4104150753148074,0.05011955241624165,2.640148515972775e-16,0.8063439066980006,ok
mregDC vs AP/MHC-II | y~x+core controls,AP_MHCII_score,mregDC_extended_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.452805026356398,0.0854268504721709,1.1548592552411258e-07,0.6212811817507119,ok
mregDC vs AP/MHC-II | y~x+core+APC/myeloid,AP_MHCII_score,mregDC_extended_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.46384366677710404,0.08513653508199727,5.0872731506863144e-08,0.6249247373635993,ok
TLS vs AP/MHC-II | y~x+core controls,AP_MHCII_score,TLS_integrated_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.15987164185952826,0.06816623615875175,0.019010751864390732,0.5781089015447185,ok
TLS vs AP/MHC-II | y~x+core+APC/myeloid,AP_MHCII_score,TLS_integrated_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.14425613300833853,0.07422913225986127,0.051969087668584296,0.578029157861486,ok
axis vs AP/MHC-II | y~x+core controls,AP_MHCII_score,MregDC_TLS_axis_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,1.0424304334436492,0.07920782228997869,1.4770984206332375e-39,0.7738041645116334,ok
axis vs AP/MHC-II | y~x+core+APC/myeloid,AP_MHCII_score,MregDC_TLS_axis_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,1.0515387313784035,0.08190541039682517,9.98502858253445e-38,0.7738389429077355,ok
axis vs B follicle | y~x+core controls,B_cell_follicle_score,MregDC_TLS_axis_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.18551115473961702,0.11391674729660844,0.10342312784846613,0.5090427157573156,ok
axis vs B follicle | y~x+core+APC/myeloid,B_cell_follicle_score,MregDC_TLS_axis_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.1513920559031786,0.1138865238929483,0.18374119678240386,0.515918895301243,ok
axis vs T zone | y~x+core controls,T_cell_zone_score,MregDC_TLS_axis_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control,427,0.6102904908958573,0.0345699196031828,9.513205768510215e-70,0.8878694840896487,ok
axis vs T zone | y~x+core+APC/myeloid,T_cell_zone_score,MregDC_TLS_axis_score,Immune_context_control;Tumor_purity_control;B_cell_control;T_cell_control;Myeloid_APC_control,427,0.6087513491662225,0.03561504616064033,1.68685026579792e-65,0.8876188784147461,ok
