dataset,signature,n_samples,median_coverage,min_coverage,max_coverage
10x_human_ovarian_cancer_ffpe_visium,AP_MHCII,1,1.0,1.0,1.0
10x_human_ovarian_cancer_ffpe_visium,B_cell_TLS,1,1.0,1.0,1.0
10x_human_ovarian_cancer_ffpe_visium,TLS_12CK,1,0.916666666666667,0.916666666666667,0.916666666666667
10x_human_ovarian_cancer_ffpe_visium,TLS_spatial_imprint_overlap,1,0.857142857142857,0.857142857142857,0.857142857142857
10x_human_ovarian_cancer_ffpe_visium,T_cell_zone,1,1.0,1.0,1.0
10x_human_ovarian_cancer_ffpe_visium,mregDC,1,1.0,1.0,1.0
GSE211956,AP_MHCII,8,1.0,1.0,1.0
GSE211956,B_cell_TLS,8,1.0,1.0,1.0
GSE211956,TLS_12CK,8,1.0,1.0,1.0
GSE211956,TLS_spatial_imprint_overlap,8,1.0,1.0,1.0
GSE211956,T_cell_zone,8,1.0,1.0,1.0
GSE211956,mregDC,8,1.0,1.0,1.0
GSE224335,AP_MHCII,2,1.0,1.0,1.0
GSE224335,B_cell_TLS,2,1.0,1.0,1.0
GSE224335,TLS_12CK,2,1.0,1.0,1.0
GSE224335,TLS_spatial_imprint_overlap,2,1.0,1.0,1.0
GSE224335,T_cell_zone,2,1.0,1.0,1.0
GSE224335,mregDC,2,1.0,1.0,1.0
GSE274657,AP_MHCII,4,0.384615384615385,0.384615384615385,0.384615384615385
GSE274657,B_cell_TLS,4,1.0,1.0,1.0
GSE274657,TLS_12CK,4,1.0,1.0,1.0
GSE274657,TLS_spatial_imprint_overlap,4,0.821428571428571,0.821428571428571,0.821428571428571
GSE274657,T_cell_zone,4,1.0,1.0,1.0
GSE274657,mregDC,4,1.0,1.0,1.0
GSE288483,AP_MHCII,8,1.0,1.0,1.0
GSE288483,B_cell_TLS,8,1.0,1.0,1.0
GSE288483,TLS_12CK,8,0.916666666666667,0.916666666666667,0.916666666666667
GSE288483,TLS_spatial_imprint_overlap,8,0.857142857142857,0.857142857142857,0.857142857142857
GSE288483,T_cell_zone,8,1.0,1.0,1.0
GSE288483,mregDC,8,1.0,1.0,1.0
