signature,category,n_genes,gene_list,role,scoring_note
IF_core_4marker,tissue IF / patient feature,4,ITGAX;HLA-DRA;LAMP3;CCR7,Four-marker APC/mregDC panel used for IF and patient-level marker-score support.,Average/z-score module score where transcriptomic; IF uses image-based positivity.
mregDC_core_state,mregDC definition,2,LAMP3;CCR7,Minimal transcript-defined mature migratory DC state.,Used conceptually; not sufficient alone to define TLS identity.
mregDC_extended,mregDC program,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,"Mature, migratory, immunoregulatory mregDC program used in multi-sample spatial analyses.",Scored as available-gene module; AP/MHC-II genes are kept as a separate program to avoid circularity.
TLS_12CK,TLS program,12,CCL2;CCL3;CCL4;CCL5;CCL8;CCL18;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13,Twelve-chemokine TLS score.,Scored using available chemokines in each dataset.
TLS_29_imprint_patient,TLS program,29,IGHA1;IGHG1;IGHG2;IGHG3;IGHG4;IGHGP;IGHM;IGKC;IGLC1;IGLC2;IGLC3;JCHAIN;CD79A;FCRL5;MZB1;SSR4;XBP1;TRBC2;IL7R;CXCL12;LUM;C1QA;C7;CD52;APOE;PTGDS;PIM2;DERL3;PTLP,Canonical 29-gene TLS imprint used for patient-level and availability audit.,Dataset scoring used the expression-overlap subset; spatial broad-validation scripts used the 28-gene overlap subset where IGLC1/PTLP were unavailable or not retained.
TLS_spatial_imprint_overlap,TLS program,28,CCL2;CCL3;CCL4;CCL5;CCL8;CCL18;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13;CD79A;FCRL5;IGHA1;IGHG1;IGHG2;IGHG3;IGHG4;IGHGP;IGHM;IGKC;IGLC2;IGLC3;JCHAIN;MZB1;SSR4;XBP1,Expression-overlap TLS imprint used by the broad multi-sample spatial scoring script.,Kept separate from the patient-level 29-gene imprint because the broad spatial matrices used an available-gene overlap version.
AP_MHCII_proxy,antigen presentation,19,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;HLA-DPA1;HLA-DPB1;HLA-DMA;HLA-DMB;B2M;CIITA;NLRC5;TAP1;TAP2;PSMB8;PSMB9;PSMB5,Antigen-presentation/MHC-II proxy layer; exact HLA-DRA evidence is assigned to IF when absent from public spatial panels.,Scored with dataset-specific available genes; Xenium/scFFPE analyses used proxy genes where exact HLA genes were absent.
IFN_response,immune response,10,IFIT1;IFIT2;IFIT3;MX1;STAT1;CXCL10;CXCL11;ISG15;IFI6;IFI27,Interferon-associated program used for spatial gradients and adjusted specificity analyses.,Scored using available genes.
B_cell_TLS,TLS maturity/location support,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,B-cell follicle/TLS support program.,"Used to support TLS-field interpretation, not as a stand-alone TLS definition."
T_cell_zone,TLS maturity/location support,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,T-cell-zone support program.,"Used to support TLS-field interpretation, not as a stand-alone TLS definition."
FDC_GC_proxy,TLS maturity/location support,9,CR2;FCER2;BCL6;MKI67;AICDA;CXCL13;CXCR5;ICOS;PDCD1,FDC/germinal-center/Tfh-associated support module.,Transcriptomic support only; histological TLS maturation requires protein-level markers.
HEV_stromal_proxy,TLS maturity/location support,9,CXCL12;CCL19;CCL21;PECAM1;CD34;VWF;LYVE1;SELL;MADCAM1,HEV/stromal-associated support module.,PNAd is not a transcriptomic gene symbol and requires protein-level validation.
tumor_proliferation,tumor program,7,MKI67;TOP2A;UBE2C;BIRC5;CCNB1;CCNB2;MYC,Tumor proliferation/cell-cycle gradient module.,Used as a tumor-program covariate in spatial interpretation.
tumor_EMT_invasion,tumor program,9,SNAI1;SNAI2;ZEB1;ZEB2;MMP9;VIM;FN1;MMP2;COL1A1,Tumor EMT/invasion gradient module.,Used as a tumor-program covariate in spatial interpretation.
