context,feature_set,requested_n,present_n,present_genes,missing_genes
TCGA_bulk,IF_core_4marker,4,4,ITGAX;HLA-DRA;LAMP3;CCR7,
TCGA_bulk,mregDC_extended,10,10,ITGAX;HLA-DRA;LAMP3;CCR7;CD40;CD274;CCL17;CCL19;CCL22;IL7R,
TCGA_bulk,AP_MHCII,10,10,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DMA;HLA-DMB;CD74;CIITA,
TCGA_bulk,TLS_12CK,12,12,CCL2;CCL3;CCL4;CCL5;CCL8;CCL18;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13,
TCGA_bulk,TLS_29_imprint,29,27,IGHA1;IGHG1;IGHG2;IGHG3;IGHG4;IGHGP;IGHM;IGKC;IGLC2;IGLC3;JCHAIN;CD79A;FCRL5;MZB1;SSR4;XBP1;TRBC2;IL7R;CXCL12;LUM;C1QA;C7;CD52;APOE;PTGDS;PIM2;DERL3,IGLC1;PTLP
TCGA_bulk,B_cell_follicle,6,6,MS4A1;CD79A;CD79B;CD19;CD22;PAX5,
TCGA_bulk,T_cell_zone,6,6,CD3D;CD3E;TRAC;CD4;CD8A;CD8B,
TCGA_bulk,Tfh_GC,7,7,CXCL13;CXCR5;ICOS;PDCD1;BCL6;AICDA;MKI67,
TCGA_bulk,FDC_HEV_proxy,8,7,CR2;FCER2;CXCL13;CCL19;CCL21;SELL;MADCAM1,PNAd
TCGA_bulk,cDC1,6,6,CLEC9A;XCR1;BATF3;IRF8;CADM1;THBD,
TCGA_bulk,cDC2,5,5,CD1C;FCER1A;CLEC10A;IRF4;SIRPA,
TCGA_bulk,Cytotoxic,5,5,NKG7;GZMB;PRF1;GNLY;IFNG,
TCGA_bulk,Checkpoint,7,7,PDCD1;CD274;CTLA4;LAG3;HAVCR2;TIGIT;IDO1,
TCGA_bulk,NFkB,11,11,NFKB1;NFKB2;RELA;RELB;TNFAIP3;NFKBIA;ICAM1;IL6;CXCL8;CCL2;CCL5,
Xenium_spatial,IF_core_4marker,8,8,ITGAX;LAMP3;CCR7;CIITA;NLRC5;TAP1;TAP2;PSMB5,
Xenium_spatial,mregDC_extended,10,9,ITGAX;LAMP3;CCR7;CD40;CD274;CCL17;CCL19;CCL22;IL7R,HLA-DRA
Xenium_spatial,AP_MHCII,7,5,CIITA;NLRC5;TAP1;TAP2;PSMB5,CD74;B2M
Xenium_spatial,TLS_12CK,12,8,CCL2;CCL8;CCL18;CCL19;CXCL9;CXCL10;CXCL11;CXCL13,CCL3;CCL4;CCL5;CCL21
Xenium_spatial,TLS_29_imprint,29,11,CD79A;FCRL5;MZB1;XBP1;IL7R;CXCL12;LUM;C7;CD52;PIM2;DERL3,IGHA1;IGHG1;IGHG2;IGHG3;IGHG4;IGHGP;IGHM;IGKC;IGLC1;IGLC2;IGLC3;JCHAIN;SSR4;TRBC2;C1QA;APOE;PTLP;PTGDS
Xenium_spatial,B_cell_follicle,6,6,MS4A1;CD79A;CD79B;CD19;CD22;PAX5,
Xenium_spatial,T_cell_zone,6,6,CD3D;CD3E;TRAC;CD4;CD8A;CD8B,
Xenium_spatial,Tfh_GC,7,7,CXCL13;CXCR5;ICOS;PDCD1;BCL6;AICDA;MKI67,
Xenium_spatial,FDC_HEV_proxy,8,5,CR2;FCER2;CXCL13;CCL19;SELL,CCL21;MADCAM1;PNAd
Xenium_spatial,cDC1,6,5,CLEC9A;XCR1;BATF3;IRF8;THBD,CADM1
Xenium_spatial,cDC2,5,5,CD1C;FCER1A;CLEC10A;IRF4;SIRPA,
Xenium_spatial,Cytotoxic,5,3,GZMB;PRF1;IFNG,NKG7;GNLY
Xenium_spatial,Checkpoint,7,7,PDCD1;CD274;CTLA4;LAG3;HAVCR2;TIGIT;IDO1,
Xenium_spatial,NFkB,11,7,NFKB1;NFKB2;RELA;RELB;ICAM1;IL6;CCL2,TNFAIP3;NFKBIA;CXCL8;CCL5
